judul,abstrak,tahun,id,abstract_clean,methods_extracted,title_clean,topic_label_id
Analisis Trafik Jaringan Menggunakan Metode YOLOv8 pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode YOLOv8. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.",2022,52,penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode yolov8. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.,yolov8,analisis trafik jaringan menggunakan metode yolov8 pada mahasiswa universitas halu oleo,3
Deteksi Dini Penyakit Pada Sapi Menggunakan Metode ARIMA pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode ARIMA. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.",2017,53,penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode arima. studi kasus dilakukan pada dataset kesehatan nasional. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.,,deteksi dini penyakit pada sapi menggunakan metode arima pada dataset kesehatan nasional,0
Identifikasi Tanaman Pangan Menggunakan Metode SVM pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode SVM. Studi kasus dilakukan pada UMKM lokal. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.",2016,54,penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode svm. studi kasus dilakukan pada umkm lokal. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.,svm,identifikasi tanaman pangan menggunakan metode svm pada umkm lokal,4
Analisis Sentimen Ulasan Marketplace Menggunakan Metode RNN menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan analisis sentimen ulasan marketplace dengan menggunakan metode RNN. Studi kasus dilakukan menggunakan Data BMKG. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk analisis sentimen ulasan marketplace.",2022,55,penelitian ini bertujuan untuk melakukan analisis sentimen ulasan marketplace dengan menggunakan metode rnn. studi kasus dilakukan menggunakan data bmkg. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk analisis sentimen ulasan marketplace.,rnn,analisis sentimen ulasan marketplace menggunakan metode rnn menggunakan data bmkg,4
Clustering Persebaran UMKM Menggunakan Metode LSTM di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode LSTM. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2022,56,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode lstm. studi kasus dilakukan di lingkungan pemerintah daerah. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,lstm,clustering persebaran umkm menggunakan metode lstm di lingkungan pemerintah daerah,4
Klasifikasi Musik Tradisional Menggunakan Metode RNN menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode RNN. Studi kasus dilakukan menggunakan Data BMKG. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.",2015,57,penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode rnn. studi kasus dilakukan menggunakan data bmkg. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.,rnn,klasifikasi musik tradisional menggunakan metode rnn menggunakan data bmkg,0
Clusterisasi Data Wisatawan Menggunakan Metode ARIMA di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode ARIMA. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.",2015,58,penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode arima. studi kasus dilakukan di lingkungan pemerintah daerah. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.,,clusterisasi data wisatawan menggunakan metode arima di lingkungan pemerintah daerah,2
Deteksi Dini Penyakit Pada Sapi Menggunakan Metode LSTM menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode LSTM. Studi kasus dilakukan menggunakan Data BMKG. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.",2015,59,penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode lstm. studi kasus dilakukan menggunakan data bmkg. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.,lstm,deteksi dini penyakit pada sapi menggunakan metode lstm menggunakan data bmkg,0
Pengenalan Wajah untuk Absensi Menggunakan Metode Decision Tree berbasis Android,"Penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode Decision Tree. Studi kasus dilakukan berbasis Android. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.",2020,60,penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode decision tree. studi kasus dilakukan berbasis android. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.,,pengenalan wajah untuk absensi menggunakan metode decision tree berbasis android,4
Pengenalan Wajah untuk Absensi Menggunakan Metode Naive Bayes pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode Naive Bayes. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.",2020,61,penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode naive bayes. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.,naive bayes,pengenalan wajah untuk absensi menggunakan metode naive bayes pada mahasiswa universitas halu oleo,4
Prediksi Harga Tanaman Holtikultura Menggunakan Metode Naive Bayes pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode Naive Bayes. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2018,62,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode naive bayes. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,naive bayes,prediksi harga tanaman holtikultura menggunakan metode naive bayes pada mahasiswa universitas halu oleo,0
Identifikasi Tanaman Pangan Menggunakan Metode YOLOv8 berbasis Android,"Penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode YOLOv8. Studi kasus dilakukan berbasis Android. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.",2021,63,penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode yolov8. studi kasus dilakukan berbasis android. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.,yolov8,identifikasi tanaman pangan menggunakan metode yolov8 berbasis android,4
Prediksi Harga Tanaman Holtikultura Menggunakan Metode RNN berbasis Android,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode RNN. Studi kasus dilakukan berbasis Android. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2018,64,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode rnn. studi kasus dilakukan berbasis android. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,rnn,prediksi harga tanaman holtikultura menggunakan metode rnn berbasis android,0
Analisis Sentimen Ulasan Marketplace Menggunakan Metode ARIMA di Kota Kendari,"Penelitian ini bertujuan untuk melakukan analisis sentimen ulasan marketplace dengan menggunakan metode ARIMA. Studi kasus dilakukan di Kota Kendari. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk analisis sentimen ulasan marketplace.",2017,65,penelitian ini bertujuan untuk melakukan analisis sentimen ulasan marketplace dengan menggunakan metode arima. studi kasus dilakukan di kota kendari. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk analisis sentimen ulasan marketplace.,,analisis sentimen ulasan marketplace menggunakan metode arima di kota kendari,4
Rancang Bangun Sistem Informasi Akademik Menggunakan Metode Naive Bayes menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan rancang bangun sistem informasi akademik dengan menggunakan metode Naive Bayes. Studi kasus dilakukan menggunakan Data BMKG. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem informasi akademik.",2023,66,penelitian ini bertujuan untuk melakukan rancang bangun sistem informasi akademik dengan menggunakan metode naive bayes. studi kasus dilakukan menggunakan data bmkg. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem informasi akademik.,naive bayes,rancang bangun sistem informasi akademik menggunakan metode naive bayes menggunakan data bmkg,1
Clusterisasi Data Wisatawan Menggunakan Metode ARIMA pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode ARIMA. Studi kasus dilakukan pada UMKM lokal. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.",2019,67,penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode arima. studi kasus dilakukan pada umkm lokal. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.,,clusterisasi data wisatawan menggunakan metode arima pada umkm lokal,2
Prediksi Harga Tanaman Holtikultura Menggunakan Metode Decision Tree di sektor pertanian,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode Decision Tree. Studi kasus dilakukan di sektor pertanian. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2019,68,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode decision tree. studi kasus dilakukan di sektor pertanian. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,,prediksi harga tanaman holtikultura menggunakan metode decision tree di sektor pertanian,0
Clustering Persebaran UMKM Menggunakan Metode Naive Bayes di sektor pertanian,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode Naive Bayes. Studi kasus dilakukan di sektor pertanian. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2024,69,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode naive bayes. studi kasus dilakukan di sektor pertanian. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,naive bayes,clustering persebaran umkm menggunakan metode naive bayes di sektor pertanian,4
Deteksi Emosi pada Teks Menggunakan Metode YOLOv8 di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode YOLOv8. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.",2024,70,penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode yolov8. studi kasus dilakukan di kabupaten kolaka timur. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.,yolov8,deteksi emosi pada teks menggunakan metode yolov8 di kabupaten kolaka timur,0
Klasifikasi Musik Tradisional Menggunakan Metode DBSCAN berbasis Android,"Penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode DBSCAN. Studi kasus dilakukan berbasis Android. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.",2024,71,penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode dbscan. studi kasus dilakukan berbasis android. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.,,klasifikasi musik tradisional menggunakan metode dbscan berbasis android,0
Deteksi Serangan Siber Menggunakan Metode BERT pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode BERT. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode BERT dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode BERT memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.",2016,72,penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode bert. studi kasus dilakukan pada dataset kesehatan nasional. metode bert dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode bert memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.,,deteksi serangan siber menggunakan metode bert pada dataset kesehatan nasional,0
Rekomendasi Judul Tugas Akhir Menggunakan Metode RNN berbasis Android,"Penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode RNN. Studi kasus dilakukan berbasis Android. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.",2022,73,penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode rnn. studi kasus dilakukan berbasis android. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.,rnn,rekomendasi judul tugas akhir menggunakan metode rnn berbasis android,2
Clustering Persebaran UMKM Menggunakan Metode SVM di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode SVM. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2020,74,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode svm. studi kasus dilakukan di kabupaten kolaka timur. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,svm,clustering persebaran umkm menggunakan metode svm di kabupaten kolaka timur,4
Prediksi Harga Emas Menggunakan Metode Random Forest pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode Random Forest. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2023,75,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode random forest. studi kasus dilakukan pada dataset kesehatan nasional. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,,prediksi harga emas menggunakan metode random forest pada dataset kesehatan nasional,0
Prediksi Harga Emas Menggunakan Metode SVM menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode SVM. Studi kasus dilakukan menggunakan Data BMKG. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2016,76,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode svm. studi kasus dilakukan menggunakan data bmkg. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,svm,prediksi harga emas menggunakan metode svm menggunakan data bmkg,0
Klasifikasi Musik Tradisional Menggunakan Metode Naive Bayes pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode Naive Bayes. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.",2019,77,penelitian ini bertujuan untuk melakukan klasifikasi musik tradisional dengan menggunakan metode naive bayes. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk klasifikasi musik tradisional.,naive bayes,klasifikasi musik tradisional menggunakan metode naive bayes pada mahasiswa universitas halu oleo,0
